Correct:   [e, f, f, g, f, n, f, w, b, n, t, f, f, w, w, p, w, o, e, k, a, g]
Correct:   [e, f, f, w, f, n, f, w, b, n, t, f, s, w, w, p, w, o, e, n, s, g]
Correct:   [e, f, s, n, f, n, f, c, b, w, e, y, y, n, n, p, w, t, p, w, y, d]
Correct:   [e, f, f, n, t, n, f, c, b, w, t, s, s, g, w, p, w, o, p, k, v, d]
Correct:   [e, b, s, n, f, n, a, c, b, o, e, s, s, o, o, p, o, o, p, n, c, l]
Correct:   [p, k, y, e, f, y, f, c, n, b, t, k, k, p, w, p, w, o, e, w, v, d]
Correct:   [e, f, f, n, f, n, f, w, b, h, t, s, f, w, w, p, w, o, e, n, a, g]
Correct:   [p, x, y, n, f, s, f, c, n, b, t, k, s, p, w, p, w, o, e, w, v, l]
Correct:   [e, x, f, n, f, n, f, w, b, n, t, f, s, w, w, p, w, o, e, n, a, g]
Correct:   [e, f, f, n, t, n, f, c, b, w, t, s, s, w, g, p, w, o, p, n, v, d]
Correct:   [p, x, f, y, f, f, f, c, b, h, e, k, k, p, b, p, w, o, l, h, y, d]
Correct:   [p, f, s, w, t, f, f, c, b, w, t, f, f, w, w, p, w, o, p, h, v, g]
Correct:   [e, f, f, g, t, n, f, c, b, u, t, s, s, w, w, p, w, o, p, k, y, d]
Correct:   [e, f, y, n, t, n, f, c, b, p, t, s, s, g, g, p, w, o, p, k, y, d]
Correct:   [e, x, y, n, t, n, f, c, b, w, t, s, s, w, w, p, w, o, p, k, v, d]
Correct:   [p, f, s, b, t, f, f, c, b, h, t, f, s, w, w, p, w, o, p, h, s, g]
Correct:   [e, b, y, w, t, l, f, c, b, g, e, s, s, w, w, p, w, o, p, k, s, m]
Correct:   [e, f, s, y, t, l, f, w, n, p, t, s, s, w, w, p, w, o, p, n, v, d]
Correct:   [p, f, y, n, f, n, f, c, n, w, e, k, y, w, n, p, w, o, e, w, v, d]
Correct:   [e, f, y, n, t, n, f, c, b, w, t, s, s, g, w, p, w, o, p, k, y, d]
Correct:   [p, x, s, n, f, f, f, c, n, b, t, k, k, p, w, p, w, o, e, w, v, l]
Correct:   [e, x, f, n, t, n, f, c, b, p, t, s, s, p, w, p, w, o, p, k, v, d]
Correct:   [e, x, y, w, t, l, f, c, b, n, e, s, s, w, w, p, w, o, p, n, n, m]
Correct:   [e, x, s, n, f, n, f, w, b, n, t, s, s, w, w, p, w, o, e, k, a, g]
Correct:   [p, f, y, n, f, f, f, c, n, b, t, k, s, w, w, p, w, o, e, w, v, d]
Correct:   [p, x, y, g, f, f, f, c, b, h, e, k, k, n, n, p, w, o, l, h, v, d]
Correct:   [e, k, s, w, f, n, f, w, b, p, e, k, k, w, w, p, w, t, p, w, n, g]
